timestamps,ghi,dni,dhi,apparent_zenith,zenith,azimuth,ghi_calc,delta,S4_tilt
2003-01-01 00:00:00+01:00,0,0,0,149.89723497885245,149.89723497885245,356.85981147421677,0.0,,
2003-01-01 01:00:00+01:00,0,0,0,148.27416296055364,148.27416296055364,23.706680989849474,0.0,,
2003-01-01 02:00:00+01:00,0,0,0,143.07553278917925,143.07553278917925,46.521631706826156,0.0,,
2003-01-01 03:00:00+01:00,0,0,0,135.65695176002603,135.65695176002603,64.48150942315976,0.0,,
2003-01-01 04:00:00+01:00,0,0,0,127.12287008198241,127.12287008198241,78.98536483265343,0.0,,
2003-01-01 05:00:00+01:00,0,0,0,118.17084074826145,118.17084074826145,91.48251212987213,0.0,,
2003-01-01 06:00:00+01:00,0,0,0,109.25916838134738,109.25916838134738,103.00254641781771,0.0,,
2003-01-01 07:00:00+01:00,0,0,0,100.74450925445657,100.74450925445657,114.25096419400859,0.0,,
2003-01-01 08:00:00+01:00,0,0,0,92.95955143660268,92.95955143660268,125.7294288344529,0.0,,
2003-01-01 09:00:00+01:00,29,68,25,86.05452901086134,86.25152106610498,137.79000952234628,29.445611413641252,1.5365910815215598,11.1028835062761
2003-01-01 10:00:00+01:00,99,65,89,80.89031295388418,80.98892034344479,150.62589425810194,99.18065475801298,0.182479553548462,44.491490411293555
2003-01-01 11:00:00+01:00,80,31,73,77.45854819275442,77.53155078198981,164.2221955641403,79.69296104154677,-0.383798698066542,50.71260536215364
2003-01-01 12:00:00+01:00,56,0,56,76.0964275261035,76.16244390580492,178.32161032120734,56.0,0.0,6.747902421988385
2003-01-01 13:00:00+01:00,51,0,51,76.93602836224552,77.006195749727,192.47997731008698,51.0,0.0,42.962126031112916
2003-01-01 14:00:00+01:00,58,0,58,79.89538752639199,79.9850055043226,206.22993290335887,58.0,0.0,68.04003297406419
2003-01-01 15:00:00+01:00,17,0,17,84.68975127199903,84.84666598833326,219.25996671893625,17.0,0.0,16.175466346758355
2003-01-01 16:00:00+01:00,1,0,1,91.24222357486207,91.24222357486207,231.49834931626944,1.0,0.0,
2003-01-01 17:00:00+01:00,0,0,0,98.80081629304827,98.80081629304827,243.09392396822327,0.0,,
2003-01-01 18:00:00+01:00,0,0,0,107.16920697337676,107.16920697337676,254.36410358414133,0.0,,
2003-01-01 19:00:00+01:00,0,0,0,116.01308280147424,116.01308280147424,265.77303602759554,0.0,,
2003-01-01 20:00:00+01:00,0,0,0,124.98607225268813,124.98607225268813,277.96943427205053,0.0,,
2003-01-01 21:00:00+01:00,0,0,0,133.66286515615806,133.66286515615806,291.8923634787243,0.0,,
2003-01-01 22:00:00+01:00,0,0,0,141.41753853949302,141.41753853949302,308.8927684210639,0.0,,
2003-01-01 23:00:00+01:00,0,0,0,147.25103906141865,147.25103906141865,330.48864501990863,0.0,,
2003-01-02 00:00:00+01:00,0,0,0,149.812039974237,149.812039974237,356.6484736622024,0.0,,
2003-01-02 01:00:00+01:00,0,0,0,148.22391890507657,148.22391890507657,23.46600929337319,0.0,,
2003-01-02 02:00:00+01:00,0,0,0,143.05488743165495,143.05488743165495,46.29724798956602,0.0,,
2003-01-02 03:00:00+01:00,0,0,0,135.6545733673778,135.6545733673778,64.28616567677858,0.0,,
2003-01-02 04:00:00+01:00,0,0,0,127.12918772078713,127.12918772078713,78.81407765101562,0.0,,
2003-01-02 05:00:00+01:00,0,0,0,118.17902782814848,118.17902782814848,91.32752159379174,0.0,,
2003-01-02 06:00:00+01:00,0,0,0,109.26415978084358,109.26415978084358,102.85749036717425,0.0,,
2003-01-02 07:00:00+01:00,0,0,0,100.74214652376179,100.74214652376179,114.11135385759593,0.0,,
2003-01-02 08:00:00+01:00,0,0,0,92.94611828047186,92.94611828047186,125.59256514336198,0.0,,
2003-01-02 09:00:00+01:00,16,0,16,86.02761747611297,86.22363744662132,137.6550780719263,16.0,0.0,11.15152798804155
