timestamps,ghi,dni,dhi,apparent_zenith,zenith,azimuth,ghi_calc,delta,S4_tilt,S4_azimuth
2003-01-01 00:00:00-04:00,0,0,0,133.3915572943977,133.3915572943977,184.7457017911621,0.0,,,
2003-01-01 01:00:00-04:00,0,0,0,132.2684318242197,132.2684318242197,165.96063241128002,0.0,,,
2003-01-01 02:00:00-04:00,0,0,0,127.00102531183742,127.00102531183742,149.36612614578115,0.0,,,
2003-01-01 03:00:00-04:00,0,0,0,118.65089283363542,118.65089283363542,136.26629810921838,0.0,,,
2003-01-01 04:00:00-04:00,0,0,0,108.29213593225853,108.29213593225853,126.31247745190484,0.0,,,
2003-01-01 05:00:00-04:00,0,0,0,96.67732459481927,96.67732459481927,118.67489374148192,0.0,,,
2003-01-01 06:00:00-04:00,31,0,31,84.12824107050224,84.27080406639647,112.6313459971663,31.0,0.0,12.08691743760599,90.0
2003-01-01 07:00:00-04:00,220,271,133,71.30492475784693,71.35319187764907,107.6651338740549,219.64777517243178,-0.16010219434919162,53.41938627587863,90.0
2003-01-01 08:00:00-04:00,473,556,177,58.07172250626738,58.09825496087652,103.41869460387494,470.8260903821548,-0.4596003420391538,57.355607643273466,90.0
2003-01-01 09:00:00-04:00,713,780,156,44.60206511641409,44.61842276622315,99.63069177011283,711.204187473121,-0.2518671145692833,44.19553870191686,90.0
2003-01-01 10:00:00-04:00,906,896,138,30.98069491436516,30.990659271950165,96.06656932100213,906.0971237135693,0.010720056685355105,30.83888024698016,90.0
2003-01-01 11:00:00-04:00,1037,973,107,17.266803915503218,17.27195275496149,92.32374399553282,1036.12378620486,-0.08449506221215763,17.253448287570805,90.0
2003-01-01 12:00:00-04:00,1094,978,118,3.5229377604862293,3.5239330083752947,83.701199372367,1094.1508081346208,0.013785021446140272,3.50172375303616,90.0
2003-01-01 13:00:00-04:00,1076,910,182,10.288086628274598,10.291081487118646,270.209190900924,1077.3607006930874,0.1264591722200221,10.288019521089552,270.0
2003-01-01 14:00:00-04:00,979,965,98,24.030002386681517,24.037398177586994,265.7911258545365,979.3149851637426,0.032174174028862385,23.972507314177136,270.0
2003-01-01 15:00:00-04:00,815,873,126,37.706517819856856,37.71934717476401,262.2202442120857,816.5578343345786,0.19114531712621047,37.45045440253747,270.0
2003-01-01 16:00:00-04:00,597,723,146,51.2642306303924,51.28488454200272,258.5792374314336,598.1992824478202,0.20088483213069075,50.70375979853065,270.0
2003-01-01 17:00:00-04:00,345,489,137,64.63417862513603,64.66891664942794,254.59695519485257,346.2178047217077,0.35298687585730254,63.813528367335834,270.0
2003-01-01 18:00:00-04:00,110,134,82,77.70625100806203,77.77964931832719,250.03644890605767,110.36404102543445,0.33094638675858723,27.136067657767626,270.0
2003-01-01 19:00:00-04:00,6,0,6,89.93100834603045,90.47897332403416,244.59665587949092,6.0,0.0,0.14184247407484918,270.0
2003-01-01 20:00:00-04:00,0,0,0,102.54831881666884,102.54831881666884,237.84925589566063,0.0,,,
2003-01-01 21:00:00-04:00,0,0,0,113.62897713464409,113.62897713464409,229.17713892380584,0.0,,,
2003-01-01 22:00:00-04:00,0,0,0,123.12785667239127,123.12785667239127,217.7697735995137,0.0,,,
2003-01-01 23:00:00-04:00,0,0,0,130.12306577323284,130.12306577323284,202.9069436488268,0.0,,,
2003-01-02 00:00:00-04:00,0,0,0,133.46494383879931,133.46494383879931,184.90478537579813,0.0,,,
2003-01-02 01:00:00-04:00,0,0,0,132.37534994798995,132.37534994798995,166.07654032520963,0.0,,,
2003-01-02 02:00:00-04:00,0,0,0,127.12818115669488,127.12818115669488,149.43063932423206,0.0,,,
2003-01-02 03:00:00-04:00,0,0,0,118.78658728159832,118.78658728159832,136.29045256614023,0.0,,,
2003-01-02 04:00:00-04:00,0,0,0,108.42960438219842,108.42960438219842,126.30961140063465,0.0,,,
2003-01-02 05:00:00-04:00,0,0,0,96.81335520760189,96.81335520760189,118.65367299188017,0.0,,,
2003-01-02 06:00:00-04:00,31,0,31,84.25877974160858,84.40400516512632,112.59582382646624,31.0,0.0,11.802795529437333,90.0
2003-01-02 07:00:00-04:00,219,276,131,71.43438183619847,71.48299867395963,107.61580713435109,218.65374639757832,-0.15810666777245805,52.320338948879076,90.0
2003-01-02 08:00:00-04:00,472,617,146,58.19780056152271,58.224462141388436,103.35261337388658,470.90781320508853,-0.23139550739649786,57.49032762640758,90.0
2003-01-02 09:00:00-04:00,713,765,168,44.72455997192212,44.74098748198293,99.53960864365399,711.3765218739458,-0.22769679187296463,44.32568927844307,90.0
2003-01-02 10:00:00-04:00,907,857,173,31.09965490133697,31.1096662289254,95.92940482199089,906.7461994595321,-0.02798241901520003,30.96388411600382,90.0
2003-01-02 11:00:00-04:00,1039,910,170,17.38270766916665,17.387893465946973,92.06873721343072,1038.4161797204224,-0.056190594762039865,17.37206018797808,90.0
2003-01-02 12:00:00-04:00,1094,907,189,3.6427741396260416,3.643804402386735,82.58266783301934,1094.1664373288359,0.015213649802180504,3.6123730267207605,90.0
2003-01-02 13:00:00-04:00,1071,892,193,10.187549933599215,10.190514597936357,270.74832111387366,1070.928620724278,-0.006664731626698229,10.186699240180317,270.0
2003-01-02 14:00:00-04:00,965,802,232,23.93206400930059,23.93942574506596,266.03395695059606,965.0079156842805,0.0008202781637858281,23.8811691643253,270.0
