timestamps,ghi,dni,dhi,apparent_zenith,zenith,azimuth,ghi_calc,delta,S4_tilt
2003-07-05 12:00:00+04:00,1007,855,153,1.8719886547686428,1.8725079621850114,210.41363958083343,1007.5434382280527,0.05396606038258696,0.9479246623108963
2003-07-05 13:00:00+04:00,963,840,151,14.760912528796538,14.76532135054245,266.96588775587793,963.2613702602783,0.02714125236535208,14.741122347728478
2003-07-05 14:00:00+04:00,849,789,156,28.406048748129344,28.415123231159235,273.1522349937535,849.9436478926373,0.11114816167694616,28.369761267549876
2003-07-05 15:00:00+04:00,675,690,163,41.992471492920465,42.00757195754099,277.5634284503621,675.7089088502829,0.1050235333752459,41.74363263399274
2003-07-05 16:00:00+04:00,462,558,146,55.44325607641651,55.467551473033105,281.7702601871619,462.3150650566037,0.06819589969777366,54.87234757043614
2003-07-05 17:00:00+04:00,230,270,132,68.67457570017227,68.7170532984677,286.2404526966516,230.00295552305795,0.001285010025195215,67.87232899293562
2003-07-05 18:00:00+04:00,48,11,46,81.54307703936666,81.64826964957707,291.30157079391466,47.597745052010985,-0.8380311416437802,17.693270962853646
2003-07-05 19:00:00+04:00,1,0,1,94.09831240933853,94.09831240933853,297.32061227040793,1.0,0.0,
2003-07-05 20:00:00+04:00,0,0,0,105.80804327282313,105.80804327282313,304.79087946092596,0.0,,
2003-07-05 21:00:00+04:00,0,0,0,116.35316901005567,116.35316901005567,314.38912205955114,0.0,,
2003-07-05 22:00:00+04:00,0,0,0,125.04700811656573,125.04700811656573,326.9182254883169,0.0,,
2003-07-05 23:00:00+04:00,0,0,0,130.8871618843159,130.8871618843159,342.84919104526654,0.0,,
2003-07-06 00:00:00+04:00,0,0,0,132.79673346070518,132.79673346070518,1.2647372122773959,0.0,,
2003-07-06 01:00:00+04:00,0,0,0,130.31877658928292,130.31877658928292,19.478014601761288,0.0,,
2003-07-06 02:00:00+04:00,0,0,0,124.03469768749191,124.03469768749191,34.970486778161444,0.0,,
2003-07-06 03:00:00+04:00,0,0,0,115.0439658971652,115.0439658971652,47.071191315772126,0.0,,
2003-07-06 04:00:00+04:00,0,0,0,104.31102710967055,104.31102710967055,56.34587211880256,0.0,,
2003-07-06 05:00:00+04:00,2,0,2,92.48219381382582,92.48219381382582,63.59460835983873,2.0,0.0,
2003-07-06 06:00:00+04:00,43,0,43,79.86560756641572,79.954734800059,69.46959401752952,43.0,0.0,21.583375853457383
2003-07-06 07:00:00+04:00,200,119,154,66.93279907982833,66.97181927106102,74.44474620714323,200.55087556830802,0.27543778415400766,66.15212553437067
2003-07-06 08:00:00+04:00,425,307,243,53.66443790142089,53.687200001283365,78.87916837358239,424.8033155046275,-0.04627870479352811,53.14460119436231
2003-07-06 09:00:00+04:00,656,512,264,40.1894867067896,40.20365951622792,83.11155686523762,655.042458266774,-0.14596672762591165,39.98498819650633
2003-07-06 10:00:00+04:00,838,617,286,26.5890356762227,26.5974327198741,87.68220532980678,837.7055424231919,-0.035138135657291104,26.57027097351559
2003-07-06 11:00:00+04:00,956,736,239,12.947720114327637,12.951563473540588,94.72947111295633,956.2760753651826,0.028878176274328243,12.90511288357699
2003-07-06 12:00:00+04:00,1000,830,171,1.9364016395815327,1.9369399264908083,207.9813762864921,1000.5257648139601,0.05257648139601088,0.9087995590912072
2003-07-06 13:00:00+04:00,972,807,193,14.737805616991807,14.742207176525326,266.5693507824474,973.4340107006896,0.147531965091518,14.712541594007476
2003-07-06 14:00:00+04:00,857,784,168,28.38295752919712,28.39202326185439,272.939434692859,857.6963882316336,0.08125883683005732,28.351421078015697
2003-07-06 15:00:00+04:00,681,709,154,41.97335086354929,41.98844122160826,277.4105607785917,680.9853781431035,-0.0021471155501463827,41.73450995649134
2003-07-06 16:00:00+04:00,466,578,139,55.42968699118921,55.453970182638464,281.6447333692732,466.7653813753398,0.1642449303304322,54.87092079606049
2003-07-06 17:00:00+04:00,231,275,132,68.66788203915321,68.71034536560758,286.128510776563,231.84782437837856,0.3670235404236197,67.87677145511786
2003-07-06 18:00:00+04:00,48,10,46,81.54475563154762,81.64996703206448,291.195710405048,47.45220239376686,-1.1412450129857068,17.67556617586328
2003-07-06 19:00:00+04:00,1,0,1,94.11040608073152,94.11040608073152,297.21605995503467,1.0,0.0,
2003-07-06 20:00:00+04:00,0,0,0,105.83318587908097,105.83318587908097,304.68469067658293,0.0,,
2003-07-06 21:00:00+04:00,0,0,0,116.3947258917513,116.3947258917513,314.28095077060766,0.0,,
2003-07-06 22:00:00+04:00,0,0,0,125.10846126551172,125.10846126551172,326.8131712946929,0.0,,
2003-07-06 23:00:00+04:00,0,0,0,130.96985132252271,130.96985132252271,342.76159887772184,0.0,,
2003-07-07 00:00:00+04:00,0,0,0,132.896221181808,132.896221181808,1.214278272700426,0.0,,
2003-07-07 01:00:00+04:00,0,0,0,130.4250657078231,130.4250657078231,19.4723487558266,0.0,,
2003-07-07 02:00:00+04:00,0,0,0,124.13857120600387,124.13857120600387,34.99946635980825,0.0,,
2003-07-07 03:00:00+04:00,0,0,0,115.14085748429635,115.14085748429635,47.12091346751686,0.0,,
2003-07-07 04:00:00+04:00,0,0,0,104.39982242692469,104.39982242692469,56.40764327718199,0.0,,
2003-07-07 05:00:00+04:00,2,0,2,92.5632487469449,92.5632487469449,63.66500483232534,2.0,0.0,
2003-07-07 06:00:00+04:00,61,24,57,79.93909051027227,80.02882361061081,69.54875501276467,61.15566555657469,0.25518943700768754,21.389656469933684
2003-07-07 07:00:00+04:00,237,238,144,67.0006081629617,67.03975399703641,74.53564504986997,236.84198004131173,-0.06667508805412292,66.23099360630331
2003-07-07 08:00:00+04:00,439,368,221,53.72694455418247,53.74975836020972,78.98840353882855,438.6032022034208,-0.09038674181759032,53.21769885184846
2003-07-07 09:00:00+04:00,612,427,286,40.24749028897392,40.26169217355561,83.25303669041938,611.8439567797884,-0.025497258204507555,40.05125184508937
2003-07-07 10:00:00+04:00,734,440,340,26.643908096836313,26.652325280330878,87.89100489181209,733.2477774467284,-0.10248263668550708,26.628349778765262
2003-07-07 11:00:00+04:00,789,418,382,13.004156791082266,13.008017622597649,95.1431437369447,789.2735251711051,0.0346673220665552,12.953569359015418
2003-07-07 12:00:00+04:00,780,312,468,2.0106010206124694,2.0111611722577294,205.66526275823685,779.8078110149011,-0.02463961347422274,0.871107335764151
2003-07-07 13:00:00+04:00,669,231,445,14.71791428307992,14.722309592233572,266.1471760390533,668.4160094875067,-0.08729305119481333,14.686090387772893
2003-07-07 14:00:00+04:00,513,118,410,28.36270013177107,28.37175819102901,272.7132222711739,513.8261830424584,0.16104932601528468,28.335843631640344
2003-07-07 15:00:00+04:00,334,32,310,41.95716032186732,41.972242126797205,277.24841884009993,333.79100510304147,-0.06257332244267347,41.728694054079966
2003-07-07 16:00:00+04:00,339,154,251,55.41928744114457,55.44356128393446,281.51191045428413,338.35153510646535,-0.19128757921376144,54.873253051447826
2003-07-07 17:00:00+04:00,206,143,154,68.66467739835423,68.70713389495575,286.01037088083535,205.92833686387885,-0.034787930155895874,67.88534344105236
2003-07-07 18:00:00+04:00,47,1,47,81.55028397861061,81.65555730869376,291.08431502123744,47.14512370424392,0.3087738388168548,17.64836417952644
2003-07-07 19:00:00+04:00,1,0,1,94.12686573995855,94.12686573995855,297.1064177452931,1.0,0.0,
2003-07-07 20:00:00+04:00,0,0,0,105.86325077207648,105.86325077207648,304.5738070432663,0.0,,
2003-07-07 21:00:00+04:00,0,0,0,116.4418346832928,116.4418346832928,314.168650633844,0.0,,
2003-07-07 22:00:00+04:00,0,0,0,125.17609815525904,125.17609815525904,326.70508785447123,0.0,,
2003-07-07 23:00:00+04:00,0,0,0,131.05914879864068,131.05914879864068,342.6730461164781,0.0,,
2003-07-08 00:00:00+04:00,0,0,0,133.00219921551826,133.00219921551826,1.165788894738398,0.0,,
2003-07-08 01:00:00+04:00,0,0,0,130.5370615067681,130.5370615067681,19.471272323326446,0.0,,
2003-07-08 02:00:00+04:00,0,0,0,124.2470169190191,124.2470169190191,35.03442494176056,0.0,,
2003-07-08 03:00:00+04:00,0,0,0,115.24120867630826,115.24120867630826,47.177038199624576,0.0,,
2003-07-08 04:00:00+04:00,0,0,0,104.49114128994226,104.49114128994226,56.47585873892018,0.0,,
2003-07-08 05:00:00+04:00,2,0,2,92.6460773336137,92.6460773336137,63.741867890538,2.0,0.0,
2003-07-08 06:00:00+04:00,50,0,50,80.01373348763526,80.10408998839722,69.63456851027337,50.0,0.0,21.193046823964792
2003-07-08 07:00:00+04:00,218,174,150,67.06911886358833,67.10839232799466,74.6336788939293,217.684088867635,-0.14491336347017805,66.31120592204101
2003-07-08 08:00:00+04:00,441,352,232,53.78978449665949,53.81265043683746,79.10574513603541,439.83047402525034,-0.2651986337300818,53.29176405585643
2003-07-08 09:00:00+04:00,658,555,235,40.30556726410142,40.31979830994567,83.40451106423927,658.1568577531068,0.023838564301946176,40.11799122521047
2003-07-08 10:00:00+04:00,854,669,256,26.698770547259656,26.707207886077427,88.11386588806306,853.6276388812686,-0.043602004535294975,26.686308948448357
2003-07-08 11:00:00+04:00,978,810,189,13.061076822644864,13.064955284036287,95.58284316285892,978.032676454526,0.003341150769533772,13.001232233471697
2003-07-08 12:00:00+04:00,1022,835,187,2.0944166720162087,2.095001524289131,203.48385226941068,1021.4418749510984,-0.05461106153636161,0.834918188264183
2003-07-08 13:00:00+04:00,974,874,128,14.70143584048553,14.705825972530675,265.69973517682274,973.3694599806461,-0.06473716831149177,14.66183379985543
2003-07-08 14:00:00+04:00,872,787,180,28.345403803752177,28.35445531354066,272.47374706459675,872.580753858633,0.06660021314598491,28.323088020745118
2003-07-08 15:00:00+04:00,690,686,179,41.94399812975339,41.959072984528405,277.0771063368389,689.125105873263,-0.12679625025173769,41.72623741325469
2003-07-08 16:00:00+04:00,467,580,138,55.412137087954214,55.43640450574361,281.371876651837,467.0459638492539,0.00984236600725788,54.87939009282587
2003-07-08 17:00:00+04:00,232,278,131,68.6650264327094,68.70748367309521,285.8861091784215,231.95001066643553,-0.021547126536408858,67.89808442345355
2003-07-08 18:00:00+04:00,48,12,46,81.55971238576561,81.66509149332832,290.9674563191461,47.73950873132147,-0.5426901430802673,17.611605166483344
2003-07-08 19:00:00+04:00,1,0,1,94.14772857948378,94.14772857948378,296.9917552402964,1.0,0.0,
2003-07-08 20:00:00+04:00,0,0,0,105.89826062011147,105.89826062011147,304.4582970759064,0.0,,
2003-07-08 21:00:00+04:00,0,0,0,116.49450267778712,116.49450267778712,314.0522889868606,0.0,,
2003-07-08 22:00:00+04:00,0,0,0,125.24991026292682,125.24991026292682,326.59404190695784,0.0,,
2003-07-08 23:00:00+04:00,0,0,0,131.15502956750043,131.15502956750043,342.5836049051531,0.0,,
