timestamps,qabs_front,qabs_back,azimuth,zenith,S4_tilt
2003-03-21 00:00:00+04:00,0.0,0.0,0.6707811598499234,155.64344970454442,
2003-03-21 01:00:00+04:00,0.0,0.0,33.506955792461554,151.486760380529,
2003-03-21 02:00:00+04:00,0.0,0.0,54.74142677920514,141.8636035172577,
2003-03-21 03:00:00+04:00,0.0,0.0,67.75911553897089,129.8499209246832,
2003-03-21 04:00:00+04:00,0.0,0.0,76.72877570729132,116.8298484087994,
2003-03-21 05:00:00+04:00,0.0,0.0,83.79633706539136,103.36414005380372,
2003-03-21 06:00:00+04:00,10.287220249381596,15.488291145423338,90.09948441831553,89.72336502099061,1.334396254202133
2003-03-21 07:00:00+04:00,73.47664152053197,94.9437111428064,96.41593939452805,76.0851146048016,29.910417486391193
2003-03-21 08:00:00+04:00,92.83698288786299,151.058114232431,103.52976160543238,62.628457081437816,61.932082600070096
2003-03-21 09:00:00+04:00,277.134157795259,223.30422310931718,112.60316146535138,49.63000912883256,47.33816484614109
2003-03-21 10:00:00+04:00,545.4090578779108,248.21654647480187,125.84439524784624,37.66860895368612,32.02636761666055
2003-03-21 11:00:00+04:00,759.0268184709263,236.47995005702123,147.52126151684226,28.17964284354463,16.04395031603515
2003-03-21 12:00:00+04:00,909.543803678867,214.75029461401047,180.76250556789952,24.30931392718354,0.34429803776188805
2003-03-21 13:00:00+04:00,970.7141881198723,193.33189520445464,213.66162716245705,28.46297357118967,16.71900190028697
2003-03-21 14:00:00+04:00,963.8261310076354,176.27129363825568,234.9210342877819,38.08999568859164,32.665679144149884
2003-03-21 15:00:00+04:00,864.7164517108134,155.67357870095574,247.9483088035944,50.10548917249412,47.930920051489885
2003-03-21 16:00:00+04:00,667.0974219451648,99.05874163638596,256.928307621984,63.12365763982822,62.479055770472314
2003-03-21 17:00:00+04:00,329.8519582386778,27.506845359806796,264.0120136952789,76.58337654547333,28.48729256736549
2003-03-21 18:00:00+04:00,0.0,0.0,270.3399572538307,90.21325789813865,0.5539395757129455
2003-03-21 19:00:00+04:00,0.0,0.0,276.6932859536184,103.83394136774704,
2003-03-21 20:00:00+04:00,0.0,0.0,283.86097786686304,117.26292023885098,
2003-03-21 21:00:00+04:00,0.0,0.0,293.01039194923123,130.21697715895795,
2003-03-21 22:00:00+04:00,0.0,0.0,306.34058164165526,142.1052787173271,
2003-03-21 23:00:00+04:00,0.0,0.0,328.01106936312306,151.4808836669421,
2003-06-19 00:00:00+04:00,0.0,0.0,2.3221729941698186,132.12712298547984,
2003-06-19 01:00:00+04:00,0.0,0.0,20.17574929254107,129.4379808668003,
2003-06-19 02:00:00+04:00,0.0,0.0,35.311461856826035,123.04104383034792,
2003-06-19 03:00:00+04:00,0.0,0.0,47.1504251940296,114.01023376769535,
2003-06-19 04:00:00+04:00,0.0,0.0,56.24939956374158,103.2762587405309,
2003-06-19 05:00:00+04:00,0.0,0.0,63.37268206829515,91.46430320056204,
2003-06-19 06:00:00+04:00,54.62317468965109,43.036363203302685,69.14162317838469,78.96118336176636,24.14530015990512
2003-06-19 07:00:00+04:00,107.33567149380528,101.16400074030305,74.0048346816502,66.00525660775992,65.11542849209675
2003-06-19 08:00:00+04:00,202.10390351805538,184.26362950672933,78.29267927576632,52.747931155003684,52.14385621342802
2003-06-19 09:00:00+04:00,428.06904044476306,237.44071519865147,82.29220111123999,39.290226706887466,39.021898462369506
2003-06-19 10:00:00+04:00,649.0284276857595,249.8401866470832,86.40252798838985,25.704819221961397,25.65261730189808
2003-06-19 11:00:00+04:00,822.2430233564362,235.04118579899628,92.11324912799496,12.056927904510673,12.04540234116709
2003-06-19 12:00:00+04:00,939.8555903048336,214.94335632270617,239.5060099372165,1.9697381523327664,1.6969885566900444
2003-06-19 13:00:00+04:00,991.1247511064537,198.20225095437266,269.71165657094537,15.423952847658356,15.419150474603667
2003-06-19 14:00:00+04:00,968.7032652793987,181.07336579920818,274.66527776939887,29.06361496212153,28.97364308927137
2003-06-19 15:00:00+04:00,871.1443867629685,160.90109579588656,278.6908574382616,42.62296121471945,42.27801368844828
2003-06-19 16:00:00+04:00,677.0095297222458,122.62813021849352,282.73364908240836,56.03819069498836,55.349011551650015
2003-06-19 17:00:00+04:00,356.81807825305674,49.86595272293888,287.13711943333266,69.23122622071439,68.30874333378262
2003-06-19 18:00:00+04:00,52.695259430391786,12.30084195756435,292.1902650118834,82.09101011906316,16.802098018200425
2003-06-19 19:00:00+04:00,0.0,0.0,298.24639743396074,94.44879161834405,
2003-06-19 20:00:00+04:00,0.0,0.0,305.7927481289722,106.0364024616813,
2003-06-19 21:00:00+04:00,0.0,0.0,315.4950212524184,116.41728764660401,
2003-06-19 22:00:00+04:00,0.0,0.0,328.1184208987076,124.89340996915891,
2003-06-19 23:00:00+04:00,0.0,0.0,344.0436976505116,130.46819137342501,
2003-06-21 00:00:00+04:00,0.0,0.0,2.18661352211916,132.10421281175786,
2003-06-21 01:00:00+04:00,0.0,0.0,20.04292565390801,129.4472878127284,
2003-06-21 02:00:00+04:00,0.0,0.0,35.19649570972541,123.07704723972986,
2003-06-21 03:00:00+04:00,0.0,0.0,47.055542728298924,114.06540910713615,
2003-06-21 04:00:00+04:00,0.0,0.0,56.17070843043979,103.34454229107607,
2003-06-21 05:00:00+04:00,0.0,0.0,63.30536531451679,91.54158459001451,
2003-06-21 06:00:00+04:00,53.9227819733389,42.71974291942245,69.08148512264785,79.04479312738229,23.939918265920948
2003-06-21 07:00:00+04:00,106.74478799340805,100.92512244844845,73.94824575585955,66.09344011566324,65.19959122376235
